variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3986	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3954	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3953	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3894	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pdp	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
acpP	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dltC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3706	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
odhB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3681	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3639	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3599	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
crh	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3575	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
groS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3487	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3472	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3414	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3348	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3341	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3328	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3297	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3268	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3266	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3258	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3223	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mrnC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mraZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3158	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3157	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
tadA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yvbK	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
fucU_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nusB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3109	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
argR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3091	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3065	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ispF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3052	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3051	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3019	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
def	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2995	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2988	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2972	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2969	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2968	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2965	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsmD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
bioY	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
udg	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
azoR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2844	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
gmk	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rnmV	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rnhB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yigZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2787	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
recX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
prs_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2748	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ppaX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2733	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lepB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2722	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2696	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
kdpE_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nanR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
surE	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
gatD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2625	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2603	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2595	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ymdB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lacR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2531	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
punA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
melC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mreC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2503	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
prmC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lgt	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
hslO	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2428	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2416	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
melD_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rpsR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2132	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1884	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pstS1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
asrB~~~pyrK_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mazG	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ypdA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rssB~~~rhaR_3~~~rhaR_2~~~rhaR_4	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
asd~~~asd_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dprA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutS2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
comM	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1684	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1648	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pstC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsxA~~~rnfA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1598	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
tsaD_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1587	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
phoP~~~walR_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutS_1~~~mutS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
malQ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
asrA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1533	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rlmN	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1513	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1512	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1453	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1448	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lipA~~~LIAS~~~lipA_1~~~lipA_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ytrB_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsxB_5~~~rsxB_1~~~rsxB_4	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yqeN	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1375	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ppsC~~~dltA~~~tycC~~~srfAB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1363	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1349	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutY	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1321	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
infB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1306	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rqcH	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
hup~~~hupA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ybeY	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ddlA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1285	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ppnK~~~nadK	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rnfD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
priA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
fmt~~~fmt_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cobT~~~cobT_2~~~cobT_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cobS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pstA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pepT_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
spo0J	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nudF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dacA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rny	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1213	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yqgN	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
fecE_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rbgA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
recA~~~recA_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
tmpC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1170	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
graR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1163	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1162	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1161	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1152	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1141	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
galT_1~~~galT	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dhaM	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
btuC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ade_3~~~ade_2~~~ade_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
murG	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1090	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
deaD~~~rhlB~~~cshA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutL	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1035	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dapA~~~dapA_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rimI	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ptsI_2~~~ptsI~~~ptsI_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1030	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
stp	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
hdpA_2~~~yutF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_1010	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
topA~~~topA_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_972	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
whiA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_966	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_962	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
udk_1~~~udk_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lvr	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
gyrA_1~~~parC~~~gyrA_2~~~gyrA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_953	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mepH	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsxC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_939	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ispD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
btuD_3~~~btuD_2~~~ettA_1~~~btuD_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
oppA~~~dppE	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
recO_1~~~recO	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ctpC_1~~~ctpC~~~actP	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_893	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rlhA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yajL	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_857	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
artQ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_856	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
resE~~~sasA_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_847	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_826	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nth_2~~~gltR~~~gltC_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_799	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
aspC_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ytrA_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dxs~~~dxs_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_788	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cooS1~~~cooS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
malP~~~malP_1~~~glgP_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
clpP_1~~~clpP	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yheS~~~btuD_3~~~btuD_9~~~btuD_2~~~yheS_1~~~btuD_5~~~ybiT_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
smc_1~~~smc_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_687	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_684	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
murB_2~~~murB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pglK	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yheH	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yheI_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cysE	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_662	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_658	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_654	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
tig_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
copA~~~kdpB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ydfK_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_646	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
malT~~~malT_1~~~malT_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_640	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_636	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cysS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsxE~~~rnfE	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_623	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
trmH	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lon1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_609	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dnaE~~~dnaE2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
coaX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_607	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_602	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_598	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nqrF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
napF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
lplJ_3~~~lplJ_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_587	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ribF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pheA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_578	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_573	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
apeA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
fieF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
murF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_568	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_563	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_560	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yidA_2~~~cof~~~ycsE	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
algC_1~~~algC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
sasA_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ruvA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_548	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cytR_2~~~purR_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
expZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
udk_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
murT	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
hemZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
groL	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
cobC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
phoR~~~walK~~~sasA_8	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_532	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsmF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
feoB_2~~~feoB_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
recD2~~~recD2_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_518	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_507	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_495	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
coaD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
capA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
gph_1~~~mupP	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
araA_1	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
era	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_487	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
iscU	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
xseA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
