variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
ppnK~~~nadK	9.89E-01	1.22E-02	9.99E-01	5.19E-06	6.19E-03	3.55E-05	bad-chisq
engB_2~~~engB	9.89E-01	4.95E-01	8.28E-01	-1.26E-02	5.81E-02	9.17E-03	bad-chisq
rsmD	9.89E-01	4.95E-01	9.92E-01	-5.33E-04	5.48E-02	4.12E-04	bad-chisq
yidC~~~yidC_2	9.89E-01	3.61E-01	9.79E-01	-3.58E-03	1.39E-01	1.09E-03	bad-chisq
trmL	9.89E-01	4.95E-01	9.49E-01	-3.42E-04	5.35E-03	2.70E-03	bad-chisq
group_12013	9.89E-01	1.22E-02	9.66E-01	-2.65E-04	6.20E-03	1.81E-03	bad-chisq
pcrA_2~~~pcrA~~~pcrA_3~~~pcrA_1~~~rep_2	9.89E-01	3.61E-01	1.61E-01	9.63E-02	6.86E-02	5.92E-02	bad-chisq
uvrB~~~uvrB_2~~~uvrB_1	9.89E-01	3.61E-01	9.97E-01	-1.58E-05	4.39E-03	1.53E-04	bad-chisq
gmk	9.89E-01	4.95E-01	9.72E-01	-2.89E-03	8.25E-02	1.48E-03	bad-chisq
stp~~~stp_2	9.89E-01	4.95E-01	7.40E-01	-2.04E-02	6.13E-02	1.40E-02	bad-chisq
group_11323	9.89E-01	3.61E-01	5.46E-02	-1.39E-01	7.23E-02	8.12E-02	bad-chisq
miaA	9.89E-01	3.61E-01	2.60E-01	-1.05E-01	9.27E-02	4.77E-02	bad-chisq
bioF	9.89E-01	1.22E-02	9.00E-01	1.04E-02	8.29E-02	5.32E-03	bad-chisq
plsX	9.89E-01	3.61E-01	9.00E-01	-8.86E-03	7.05E-02	5.32E-03	bad-chisq
recR	9.89E-01	4.08E-05	9.05E-01	5.49E-04	4.62E-03	5.03E-03	bad-chisq
group_7403	9.89E-01	3.61E-01	3.67E-01	5.72E-02	6.32E-02	3.82E-02	bad-chisq
mrdA_1~~~mrdA~~~mrdA_2~~~penA	9.89E-01	4.95E-01	9.72E-01	-2.49E-03	7.09E-02	1.49E-03	bad-chisq
napF	9.89E-01	4.95E-01	9.91E-01	-4.27E-04	3.69E-02	4.89E-04	bad-chisq
sepF	9.88E-01	2.65E-02	3.21E-01	-5.25E-02	5.29E-02	4.20E-02	bad-chisq
rlmH_2~~~rlmH	9.88E-01	4.59E-01	9.05E-01	-8.96E-03	7.49E-02	5.06E-03	bad-chisq
asnS_2~~~asnS_1~~~asnS	9.88E-01	2.65E-02	9.75E-01	3.12E-03	9.83E-02	1.34E-03	bad-chisq
group_12622	9.88E-01	2.65E-02	1.07E-01	-1.09E-01	6.73E-02	6.81E-02	bad-chisq
walK_2~~~sasA_7~~~sasA_10~~~sasA_4~~~sasA_2~~~srrB~~~sasA_6~~~walK	9.88E-01	2.65E-02	9.41E-01	-4.57E-04	6.19E-03	3.12E-03	bad-chisq
group_12541	9.88E-01	4.59E-01	2.19E-01	-6.04E-02	4.91E-02	5.19E-02	bad-chisq
sigF	9.88E-01	4.59E-01	1.83E-01	8.82E-02	6.61E-02	5.64E-02	bad-chisq
ispG~~~ispG_2~~~ispG_1	9.88E-01	4.61E-01	9.96E-01	-2.82E-05	6.18E-03	1.93E-04	bad-chisq
glpK~~~glpK_3~~~glpK_2~~~glpK_1	9.88E-01	2.65E-02	8.57E-01	1.21E-02	6.71E-02	7.65E-03	bad-chisq
rnpA~~~rnpA_2	9.88E-01	2.65E-02	9.66E-01	5.12E-03	1.20E-01	1.80E-03	bad-chisq
rsmG~~~rsmG_1~~~rsmG_2	9.88E-01	2.65E-02	6.17E-01	3.09E-03	6.18E-03	2.11E-02	bad-chisq
argR_1~~~argR_2~~~argR	9.88E-01	2.19E-04	1.63E-01	8.61E-03	6.16E-03	5.90E-02	bad-chisq
nusB	9.88E-01	2.19E-04	9.99E-01	-7.18E-06	6.20E-03	4.90E-05	bad-chisq
group_11690	9.88E-01	2.19E-04	9.99E-01	-7.18E-06	6.20E-03	4.90E-05	bad-chisq
group_11594	9.88E-01	4.59E-01	6.86E-01	-2.70E-02	6.67E-02	1.71E-02	bad-chisq
group_11427	9.88E-01	4.59E-01	5.98E-01	-2.95E-02	5.60E-02	2.23E-02	bad-chisq
rnc	9.88E-01	4.59E-01	8.80E-01	-1.03E-02	6.82E-02	6.41E-03	bad-chisq
group_10512	9.88E-01	4.59E-01	9.88E-01	-9.43E-05	6.14E-03	6.49E-04	bad-chisq
group_10235	9.88E-01	4.61E-01	9.58E-01	-3.97E-03	7.52E-02	2.23E-03	bad-chisq
bioY	9.88E-01	2.65E-02	9.99E-01	1.10E-05	6.20E-03	7.49E-05	bad-chisq
tdcG~~~sdaB~~~sdaA	9.88E-01	2.28E-07	8.62E-01	1.19E-02	6.83E-02	7.35E-03	bad-chisq
valS~~~valS_1~~~valS_2	9.88E-01	2.65E-02	1.24E-01	1.10E-01	7.16E-02	6.50E-02	bad-chisq
group_8039	9.88E-01	2.65E-02	9.92E-01	1.16E-03	1.10E-01	4.47E-04	bad-chisq
ruvC	9.88E-01	4.61E-01	9.83E-01	-1.43E-03	6.66E-02	9.08E-04	bad-chisq
recA	9.88E-01	2.65E-02	9.83E-01	-1.31E-04	6.19E-03	8.93E-04	bad-chisq
group_7755	9.88E-01	4.59E-01	9.99E-01	-5.17E-06	6.18E-03	3.54E-05	bad-chisq
norV~~~hrb~~~pepD~~~fprA1~~~norV_1~~~hrb_1	9.86E-01	4.79E-02	9.08E-01	-7.85E-03	6.81E-02	4.88E-03	
xylG~~~mglA_5~~~mglA_1~~~xylG_3~~~mglA_4~~~mglA_6~~~mglA_3~~~xylG_2~~~btuD_1	9.86E-01	5.52E-01	9.84E-01	-7.97E-05	4.06E-03	8.31E-04	bad-chisq
group_12654	9.86E-01	4.79E-02	9.87E-01	9.69E-05	6.17E-03	6.64E-04	
ettA_1~~~yheS~~~btuD_7~~~ybiT_1~~~yheS_1~~~yheS_2~~~btuD_4~~~btuD_5~~~ettA_2~~~btuD_9~~~btuD_3~~~btuD_2	9.86E-01	5.52E-01	9.94E-01	-4.60E-05	6.18E-03	3.15E-04	bad-chisq
group_12299	9.86E-01	4.79E-02	9.94E-01	-7.05E-04	9.96E-02	2.99E-04	
asrB~~~pyrK_2~~~pyrK	9.86E-01	5.52E-01	9.02E-01	5.36E-03	4.37E-02	5.19E-03	bad-chisq
ligA_1~~~ligA~~~ligA_2	9.86E-01	5.52E-01	9.02E-01	7.61E-04	6.18E-03	5.21E-03	bad-chisq
ymdB_2~~~ymdB_1~~~ymdB	9.86E-01	4.79E-02	9.95E-01	3.28E-05	5.37E-03	2.58E-04	
xseB	9.86E-01	2.07E-06	9.99E-01	-4.79E-06	6.19E-03	3.27E-05	bad-chisq
xseA~~~xseA_2~~~xseA_1	9.86E-01	7.73E-04	9.99E-01	-5.76E-06	6.19E-03	3.93E-05	bad-chisq
clpE~~~clpE_2~~~clpB_2~~~clpE_1~~~clpC_2~~~clpB_1~~~hslU	9.86E-01	4.79E-02	9.93E-01	-4.42E-04	4.92E-02	3.80E-04	
group_11691	9.86E-01	7.73E-04	9.99E-01	-8.71E-06	6.19E-03	5.95E-05	bad-chisq
udk_1~~~udk_2	9.86E-01	4.79E-02	9.95E-01	-2.26E-05	3.80E-03	2.51E-04	
group_11552	9.86E-01	5.52E-01	6.54E-01	-2.73E-02	6.10E-02	1.89E-02	bad-chisq
walR_2~~~walR_3~~~srrA_3~~~walR_4~~~srrA_2~~~sphR~~~phoP	9.86E-01	5.52E-01	9.83E-01	-1.31E-04	6.19E-03	8.93E-04	bad-chisq
sasA_8~~~sasA_4~~~phoR_2~~~sasA_7~~~sasA_9~~~sasA_1~~~phoR~~~sasA_6~~~sasA_5~~~walK~~~walK_3~~~sasA_3	9.86E-01	4.79E-02	9.94E-01	4.49E-05	6.16E-03	3.09E-04	
group_11221	9.86E-01	5.52E-01	9.91E-01	-6.81E-05	6.18E-03	4.66E-04	bad-chisq
murT~~~murT_1~~~murT_2	9.86E-01	4.79E-02	9.99E-01	-4.93E-06	6.20E-03	3.37E-05	
group_10997	9.86E-01	5.52E-01	9.98E-01	-1.35E-05	6.19E-03	9.21E-05	bad-chisq
tsaE~~~tsaB~~~OSGEPL1	9.86E-01	5.52E-01	7.11E-01	1.79E-02	4.82E-02	1.57E-02	bad-chisq
group_10919	9.86E-01	4.79E-02	9.92E-01	-6.52E-05	6.16E-03	4.47E-04	
nudF~~~act	9.86E-01	4.79E-02	9.74E-01	2.13E-03	6.64E-02	1.36E-03	
group_10570	9.86E-01	4.30E-01	1.00E+00	-1.44E-06	3.70E-03	1.65E-05	bad-chisq
dnaN~~~dnaN_3~~~dnaN_1	9.86E-01	4.30E-01	9.62E-01	-3.26E-03	6.82E-02	2.02E-03	bad-chisq
murAA~~~murA~~~murAA_2~~~murA_1~~~murAB_2~~~murA1	9.86E-01	4.30E-01	9.90E-01	-8.01E-05	6.19E-03	5.47E-04	bad-chisq
group_8033	9.86E-01	5.52E-01	9.96E-01	-2.87E-05	6.17E-03	1.97E-04	bad-chisq
ecsA_1~~~ecsA~~~opuCA~~~yxlF	9.84E-01	7.61E-02	9.99E-01	3.41E-06	5.37E-03	2.69E-05	
gltX_2~~~gltX_1~~~gltX	9.84E-01	6.40E-01	6.96E-01	-2.22E-02	5.68E-02	1.65E-02	bad-chisq
polC_2~~~polC_3~~~polC_1~~~polC	9.84E-01	7.61E-02	1.00E+00	2.92E-06	5.36E-03	2.30E-05	
uppS~~~uppS_2~~~uppS_1~~~ispU	9.84E-01	6.40E-01	9.10E-01	4.93E-04	4.38E-03	4.76E-03	bad-chisq
srrA_1~~~srrA~~~srrA_2	9.84E-01	6.40E-01	9.38E-01	-4.18E-04	5.37E-03	3.29E-03	bad-chisq
yidD	9.84E-01	6.40E-01	3.69E-01	-7.55E-02	8.39E-02	3.80E-02	bad-chisq
group_12003	9.84E-01	1.26E-08	7.64E-01	2.28E-02	7.61E-02	1.27E-02	bad-chisq
spoIIAA	9.84E-01	7.61E-02	2.37E-01	6.89E-02	5.82E-02	5.00E-02	
ytfJ	9.84E-01	6.40E-01	9.88E-01	-9.40E-05	6.18E-03	6.43E-04	bad-chisq
recN~~~recN_2~~~recN_1	9.84E-01	7.61E-02	9.98E-01	-8.43E-06	3.70E-03	9.63E-05	
tlyA	9.84E-01	2.07E-03	9.96E-01	-2.44E-05	4.38E-03	2.35E-04	
ispA	9.84E-01	1.16E-05	9.79E-01	-1.64E-04	6.19E-03	1.12E-03	bad-chisq
tsaD_1~~~tsaD_2~~~OSGEPL1~~~tsaD	9.84E-01	1.16E-05	9.99E-01	7.69E-06	6.19E-03	5.26E-05	bad-chisq
secG	9.84E-01	6.40E-01	6.04E-01	-2.80E-02	5.40E-02	2.19E-02	bad-chisq
dacF_2~~~dacF_1	9.84E-01	6.40E-01	9.97E-01	-1.60E-05	3.71E-03	1.83E-04	bad-chisq
glgB	9.84E-01	4.02E-01	9.92E-01	-5.90E-05	6.13E-03	4.07E-04	bad-chisq
glgA_2~~~glgA~~~glgA_1	9.84E-01	4.02E-01	9.92E-01	-5.94E-05	6.13E-03	4.10E-04	bad-chisq
hcaB~~~acr1~~~sadH	9.84E-01	7.61E-02	9.27E-01	4.58E-03	5.00E-02	3.87E-03	
exuR~~~exuR_1~~~degA~~~purR_2	9.84E-01	6.40E-01	3.36E-01	-4.57E-02	4.74E-02	4.07E-02	bad-chisq
group_11033	9.84E-01	7.61E-02	9.98E-01	1.61E-05	5.35E-03	1.27E-04	
group_11001	9.84E-01	1.16E-05	7.92E-01	1.87E-02	7.12E-02	1.11E-02	bad-chisq
rsmA	9.84E-01	6.40E-01	9.28E-01	-5.57E-04	6.17E-03	3.81E-03	bad-chisq
group_10445	9.84E-01	6.40E-01	9.93E-01	-3.91E-05	4.37E-03	3.78E-04	bad-chisq
ldh~~~ldh1	9.84E-01	7.61E-02	2.19E-01	5.24E-02	4.26E-02	5.19E-02	
group_10393	9.84E-01	2.07E-03	9.82E-01	2.00E-03	9.04E-02	9.34E-04	
hdfR_2~~~hdfR_4	9.84E-01	6.40E-01	9.96E-01	-2.09E-04	4.22E-02	2.10E-04	bad-chisq
alaS_2~~~alaS_1~~~alaS~~~alaS_3	9.84E-01	7.61E-02	8.77E-01	-8.24E-04	5.34E-03	6.53E-03	
mltG~~~mltG_1~~~mltG_2	9.84E-01	7.61E-02	7.39E-01	3.26E-02	9.80E-02	1.41E-02	
sdhA~~~frdA~~~nadB	9.84E-01	6.40E-01	4.68E-01	-4.57E-02	6.30E-02	3.07E-02	bad-chisq
ruvA	9.84E-01	4.02E-01	9.92E-01	-7.45E-04	7.35E-02	4.29E-04	bad-chisq
lepA~~~lepA_1~~~lepA_2	9.84E-01	6.40E-01	9.97E-01	2.93E-04	6.75E-02	1.84E-04	bad-chisq
spoIVA_2~~~spoIVA_1~~~spoIVA	9.82E-01	4.57E-03	9.73E-01	-1.53E-04	4.60E-03	1.41E-03	
csoR_3	9.82E-01	7.22E-01	9.92E-01	-4.03E-05	4.05E-03	4.21E-04	bad-chisq
tagU_2~~~tagU_1~~~tagU~~~tagU_3	9.82E-01	1.11E-01	9.43E-01	-4.38E-04	6.18E-03	3.00E-03	
alr2~~~alr1_2~~~alr1_3~~~alr1~~~alr1_1	9.82E-01	3.77E-01	9.93E-01	-3.62E-05	3.92E-03	3.91E-04	bad-chisq
group_12347	9.82E-01	7.22E-01	9.93E-01	-3.37E-05	4.05E-03	3.52E-04	bad-chisq
rpoZ	9.82E-01	3.77E-01	9.82E-01	-1.48E-03	6.42E-02	9.72E-04	bad-chisq
prfB~~~prfB_1~~~prfB_2	9.82E-01	7.22E-01	4.38E-01	-3.58E-02	4.61E-02	3.28E-02	bad-chisq
asd	9.82E-01	1.11E-01	9.96E-01	-3.03E-05	6.17E-03	2.08E-04	
malQ~~~malQ_2	9.82E-01	7.22E-01	3.87E-01	-4.63E-02	5.34E-02	3.66E-02	bad-chisq
mutY	9.82E-01	7.22E-01	8.92E-01	-7.61E-03	5.59E-02	5.75E-03	bad-chisq
rluD~~~rluD_1~~~rluD_2	9.82E-01	7.22E-01	9.29E-01	-4.74E-04	5.35E-03	3.75E-03	bad-chisq
nagZ_1~~~nagZ~~~nagZ_2	9.82E-01	7.22E-01	9.97E-01	-2.55E-05	6.18E-03	1.74E-04	bad-chisq
tsaD_1~~~tsaD_2	9.82E-01	4.57E-03	8.51E-01	1.31E-02	6.94E-02	7.97E-03	
inlA	9.82E-01	3.77E-01	9.36E-01	-4.94E-04	6.18E-03	3.38E-03	bad-chisq
rny~~~rny_1~~~rny_2	9.82E-01	7.22E-01	9.98E-01	-1.36E-05	6.19E-03	9.27E-05	bad-chisq
dagK_1~~~dagK	9.82E-01	1.11E-01	9.10E-01	6.06E-04	5.35E-03	4.79E-03	
queH	9.82E-01	7.22E-01	9.86E-01	-7.84E-05	4.37E-03	7.59E-04	bad-chisq
ruvB_2~~~dnaX~~~ruvB_1~~~dnaX_1	9.82E-01	5.53E-11	3.62E-02	1.49E-01	7.08E-02	8.84E-02	
der~~~der_2~~~der_1~~~der_3	9.82E-01	7.22E-01	9.91E-01	-6.58E-05	6.18E-03	4.51E-04	bad-chisq
ffh_1~~~ffh~~~ffh_2~~~srp54	9.82E-01	3.77E-01	8.10E-01	-1.10E-02	4.56E-02	1.02E-02	bad-chisq
ndoA_1~~~ndoA_2~~~ndoA_3~~~ndoA	9.80E-01	3.53E-01	9.92E-01	-4.01E-05	3.92E-03	4.32E-04	bad-chisq
ispE~~~ispE_2	9.80E-01	1.50E-01	9.34E-01	-2.81E-04	3.39E-03	3.50E-03	
pheS~~~pheS_1	9.80E-01	7.99E-01	9.09E-01	5.28E-04	4.61E-03	4.84E-03	bad-chisq
group_12334	9.80E-01	7.99E-01	9.46E-01	-2.97E-04	4.37E-03	2.88E-03	bad-chisq
crh	9.80E-01	7.99E-01	1.00E+00	-2.10E-06	4.38E-03	2.03E-05	bad-chisq
secA~~~secA1~~~secA1_2~~~secA1_1	9.80E-01	8.74E-03	8.83E-01	8.17E-03	5.55E-02	6.22E-03	
ecfA1_2~~~ecfA1~~~ecfA2_1~~~ecfA2_2	9.80E-01	7.99E-01	1.47E-01	-7.25E-02	5.00E-02	6.12E-02	bad-chisq
ppaX_2~~~ppaX~~~gph_4	9.80E-01	8.74E-03	4.94E-01	3.48E-02	5.09E-02	2.89E-02	
aes~~~aes_2~~~aes_1	9.80E-01	1.50E-01	9.02E-01	-7.76E-03	6.33E-02	5.18E-03	
gatD~~~gatD_1	9.80E-01	1.50E-01	9.46E-01	-4.17E-04	6.18E-03	2.85E-03	
group_10937	9.80E-01	1.50E-01	9.96E-01	-2.28E-05	4.60E-03	2.10E-04	
glgD~~~glgC_1	9.80E-01	3.53E-01	9.90E-01	-7.52E-05	6.13E-03	5.19E-04	bad-chisq
group_10722	9.80E-01	1.50E-01	9.50E-01	1.79E-04	2.83E-03	2.67E-03	
group_10672	9.80E-01	8.74E-03	1.93E-01	1.13E-01	8.67E-02	5.50E-02	
araQ_1~~~araQ~~~ngcG~~~araQ_2~~~araQ_7~~~araQ_3~~~araQ_4	9.80E-01	1.50E-01	9.21E-01	-6.13E-04	6.16E-03	4.21E-03	
lspA	9.80E-01	1.50E-01	9.94E-01	-4.12E-05	5.35E-03	3.25E-04	
gpsB	9.80E-01	1.42E-04	9.66E-01	-2.61E-04	6.18E-03	1.79E-03	
prs~~~prs_2~~~prs_1	9.80E-01	8.74E-03	9.52E-01	-3.69E-04	6.16E-03	2.53E-03	
gyrA_1~~~gyrA_2	9.80E-01	7.99E-01	9.22E-01	5.97E-03	6.07E-02	4.16E-03	bad-chisq
dnaK_2~~~dnaK_3~~~dnaK_1~~~dnaK	9.80E-01	1.50E-01	9.38E-01	-4.82E-04	6.15E-03	3.31E-03	
yrrK	9.80E-01	7.99E-01	9.82E-01	-9.86E-05	4.38E-03	9.53E-04	bad-chisq
group_7203	9.80E-01	1.50E-01	9.97E-01	-1.42E-05	4.06E-03	1.48E-04	
cooS1~~~cooS	9.82E-01	7.22E-01	9.98E-01	-7.90E-06	3.41E-03	9.79E-05	bad-chisq
metK_3~~~metK_2~~~metK_1~~~metK	9.79E-01	1.94E-01	9.98E-01	-8.72E-06	3.40E-03	1.09E-04	
group_12662	9.79E-01	8.70E-01	9.99E-01	-3.52E-06	4.05E-03	3.68E-05	bad-chisq
group_12656	9.79E-01	1.94E-01	2.33E-01	6.37E-03	5.34E-03	5.04E-02	
group_12311	9.79E-01	1.94E-01	9.50E-01	-3.87E-04	6.16E-03	2.66E-03	
group_12007	9.79E-01	1.50E-02	9.90E-01	6.77E-05	5.34E-03	5.36E-04	
pgk	9.79E-01	1.94E-01	9.64E-01	-1.82E-04	4.05E-03	1.91E-03	
group_11497	9.79E-01	8.70E-01	9.92E-01	-6.08E-05	6.18E-03	4.16E-04	bad-chisq
glgC~~~glgC_1~~~glgC_2	9.79E-01	3.32E-01	9.92E-01	-5.90E-05	6.13E-03	4.07E-04	bad-chisq
phoU_2	9.79E-01	1.94E-01	9.79E-18	2.80E-01	3.16E-02	3.51E-01	
group_10938	9.79E-01	1.94E-01	9.86E-01	-9.37E-05	5.35E-03	7.41E-04	
rluD_2~~~rluA_2~~~rluA_1~~~rluA	9.79E-01	1.94E-01	9.98E-01	-8.80E-06	3.80E-03	9.80E-05	
psuK~~~psuK_2~~~psuK_1~~~iolC	9.79E-01	8.70E-01	1.67E-01	-8.44E-03	6.10E-03	5.85E-02	bad-chisq
group_10761	9.79E-01	8.70E-01	9.47E-01	2.02E-04	3.05E-03	2.79E-03	bad-chisq
nrdR	9.79E-01	8.70E-01	9.82E-01	-9.39E-05	4.06E-03	9.79E-04	bad-chisq
era	9.79E-01	3.32E-01	9.99E-01	-3.99E-06	3.70E-03	4.56E-05	bad-chisq
group_10485	9.79E-01	1.94E-01	9.40E-01	-3.45E-04	4.61E-03	3.16E-03	
cshA~~~dbpA~~~rhlB~~~deaD	9.79E-01	3.32E-01	8.49E-01	-1.17E-03	6.15E-03	8.03E-03	bad-chisq
uppP	9.79E-01	1.50E-02	9.70E-01	2.29E-04	6.15E-03	1.58E-03	
pth	9.79E-01	1.50E-02	9.39E-01	-4.73E-04	6.15E-03	3.25E-03	
prmC~~~prmB~~~prmC_2	9.79E-01	8.70E-01	9.84E-01	-1.25E-04	6.19E-03	8.55E-04	bad-chisq
group_12679	9.77E-01	2.38E-02	9.94E-01	-4.01E-05	5.35E-03	3.17E-04	
group_12677	9.77E-01	2.38E-02	9.41E-01	3.23E-04	4.37E-03	3.13E-03	
group_12643	9.77E-01	8.04E-04	3.71E-01	4.97E-02	5.56E-02	3.78E-02	
group_12616	9.77E-01	2.42E-01	9.70E-01	-1.40E-04	3.70E-03	1.60E-03	
gpmI_2~~~gpmI~~~gpmI_1	9.77E-01	9.36E-01	9.42E-01	-4.48E-04	6.15E-03	3.08E-03	bad-chisq
htrA~~~htrB	9.77E-01	2.42E-01	9.57E-01	-2.36E-04	4.37E-03	2.29E-03	
ndhI_2~~~rsxB_4~~~rsxB_6~~~rsxB_1~~~rsxB_5~~~rsxB_2~~~ndhI~~~rsxB_3~~~ndhI_1	9.77E-01	2.42E-01	8.97E-01	-7.96E-04	6.14E-03	5.48E-03	
umpB~~~umpA	9.77E-01	2.38E-02	9.41E-01	3.23E-04	4.37E-03	3.12E-03	
rpsR_2~~~rpsR	9.77E-01	9.36E-01	9.93E-01	3.70E-05	4.06E-03	3.86E-04	bad-chisq
sufB	9.77E-01	1.23E-14	9.71E-01	5.35E-03	1.47E-01	1.53E-03	
ispD~~~ispD_2~~~ispD_1	9.77E-01	3.12E-01	8.08E-01	-9.65E-03	3.96E-02	1.03E-02	bad-chisq
priA~~~priA_2~~~priA_1	9.77E-01	9.36E-01	9.99E-01	-3.80E-06	3.39E-03	4.74E-05	bad-chisq
rsgA~~~rsgA_1	9.77E-01	2.42E-01	7.03E-01	1.72E-02	4.51E-02	1.61E-02	
group_11341	9.77E-01	2.42E-01	5.91E-01	2.43E-02	4.51E-02	2.27E-02	
ftsW_1~~~ftsW_2~~~mrdB_1~~~mrdB_2	9.77E-01	9.36E-01	7.62E-01	1.20E-02	3.96E-02	1.28E-02	bad-chisq
gyrB_1~~~gyrB~~~gyrB_3~~~gyrB_2	9.77E-01	9.36E-01	6.83E-01	-2.09E-02	5.11E-02	1.73E-02	bad-chisq
group_10673	9.77E-01	2.42E-01	9.38E-01	4.82E-04	6.16E-03	3.31E-03	
gyrB_2~~~gyrB_1~~~gyrB_3	9.77E-01	9.36E-01	7.67E-01	-1.48E-02	4.99E-02	1.26E-02	bad-chisq
fieF	9.77E-01	2.42E-01	9.00E-01	-5.52E-04	4.38E-03	5.34E-03	
dnaA~~~dnaA_2~~~dnaA_1	9.77E-01	9.36E-01	9.05E-01	6.69E-03	5.59E-02	5.06E-03	bad-chisq
guaD~~~guaD_1~~~guaD_2	9.77E-01	2.38E-02	9.10E-01	6.03E-04	5.34E-03	4.77E-03	
fusA_2~~~fusA_1~~~fusA~~~GFM1_1~~~fusB	9.77E-01	9.36E-01	9.53E-01	-2.74E-04	4.61E-03	2.51E-03	bad-chisq
group_12686	9.75E-01	2.92E-01	5.06E-01	1.98E-03	2.98E-03	2.81E-02	
group_12486	9.75E-01	1.78E-13	9.92E-01	-5.92E-05	6.19E-03	4.05E-04	
thrH	9.75E-01	1.78E-13	1.62E-01	-6.48E-02	4.63E-02	5.91E-02	
opuBA~~~ecfA2_2~~~phnT~~~cysA~~~btuD_6	9.75E-01	1.78E-13	9.94E-01	7.13E-04	9.31E-02	3.24E-04	
group_11987	9.75E-01	2.92E-01	9.93E-01	-3.48E-05	4.05E-03	3.63E-04	
group_11293	9.75E-01	9.99E-01	9.99E-01	-3.11E-06	3.70E-03	3.55E-05	bad-chisq
miaB~~~miaB_2	9.75E-01	2.92E-01	9.91E-01	-3.65E-05	3.31E-03	4.66E-04	
group_10790	9.75E-01	9.99E-01	9.60E-01	1.59E-04	3.18E-03	2.11E-03	bad-chisq
mrdB~~~ftsW_3~~~mrdB_2~~~rodA~~~ftsW_2~~~mrdB_1	9.75E-01	9.99E-01	9.93E-01	-3.99E-05	4.37E-03	3.86E-04	bad-chisq
melD_1~~~melD~~~melD_2~~~melD_8	9.75E-01	2.92E-01	9.40E-01	-3.44E-04	4.61E-03	3.16E-03	
znuC~~~ecfA3	9.75E-01	2.92E-01	9.08E-01	-7.11E-04	6.14E-03	4.90E-03	
ddlA~~~vanB~~~ddl	9.75E-01	9.99E-01	9.91E-01	-5.76E-05	5.35E-03	4.55E-04	bad-chisq
hyuA	9.75E-01	2.92E-01	9.80E-01	-9.91E-05	4.05E-03	1.04E-03	
htrB~~~htrA	9.75E-01	1.78E-13	9.79E-01	1.85E-03	7.01E-02	1.12E-03	
hisS~~~hisS_2	9.75E-01	3.52E-02	6.84E-01	-2.19E-02	5.39E-02	1.72E-02	
hrcA	9.75E-01	2.92E-01	9.57E-01	-2.64E-03	4.93E-02	2.27E-03	
ypdF~~~ypdF_2	9.75E-01	2.94E-01	9.47E-01	-2.93E-04	4.38E-03	2.83E-03	bad-chisq
potA~~~potA_2~~~potA_1	9.75E-01	2.94E-01	9.72E-01	-1.60E-03	4.53E-02	1.49E-03	bad-chisq
group_6646	9.77E-01	9.36E-01	9.49E-01	-2.34E-04	3.68E-03	2.69E-03	bad-chisq
grpE~~~grpE_2~~~grpE_1	9.75E-01	9.99E-01	8.07E-01	-1.08E-02	4.44E-02	1.03E-02	bad-chisq
rluB_1~~~rsuA_2~~~rsuA~~~rsuA_1~~~rluB_2	9.75E-01	2.94E-01	9.95E-01	-3.85E-05	6.16E-03	2.64E-04	bad-chisq
rpmI	9.73E-01	3.44E-01	9.56E-01	1.55E-04	2.83E-03	2.31E-03	
group_12689	9.73E-01	2.88E-03	9.52E-01	2.36E-04	3.92E-03	2.54E-03	
uvrA~~~uvrA_3~~~uvrA_1~~~uvrA_2	9.73E-01	9.44E-01	9.96E-01	-1.65E-05	3.39E-03	2.06E-04	bad-chisq
group_12645	9.73E-01	4.96E-02	1.00E+00	-1.64E-06	6.17E-03	1.13E-05	
group_12644	9.73E-01	4.96E-02	9.82E-01	-1.20E-04	5.34E-03	9.52E-04	
group_12633	9.73E-01	4.96E-02	4.08E-01	3.14E-03	3.78E-03	3.50E-02	
mgsA_1~~~mgsA~~~mgsA_2	9.73E-01	9.44E-01	9.98E-01	-1.44E-05	6.17E-03	9.87E-05	bad-chisq
group_12467	9.73E-01	9.44E-01	9.99E-01	-4.50E-06	3.79E-03	5.02E-05	bad-chisq
nqrF	9.73E-01	2.88E-03	9.74E-01	-1.73E-04	5.34E-03	1.37E-03	
tpiA~~~tpiA_3~~~tpiA_1	9.73E-01	3.44E-01	9.29E-01	-5.48E-04	6.13E-03	3.78E-03	
sufS~~~csd_2~~~egtE~~~csd~~~csdA~~~sufS_1~~~csd_1~~~sufS_2~~~iscS_1~~~iscS_2~~~iscS_3	9.73E-01	3.44E-01	9.34E-01	-4.44E-04	5.35E-03	3.51E-03	
rsxB_5~~~rsxB_3~~~rsxB_1~~~rsxB_2~~~ydhY	9.73E-01	3.44E-01	9.84E-01	-8.94E-05	4.38E-03	8.64E-04	
lacG~~~araQ_1~~~lacG_1	9.73E-01	2.88E-03	9.88E-01	5.74E-05	3.79E-03	6.40E-04	
group_10909	9.73E-01	3.44E-01	8.40E-01	-1.08E-03	5.35E-03	8.54E-03	
walR_3~~~walR_1~~~walR_2~~~walR_4~~~uvrC_2	9.73E-01	1.80E-12	9.11E-01	-6.90E-04	6.17E-03	4.73E-03	
ybeY	9.73E-01	2.77E-01	9.95E-01	-2.22E-05	3.70E-03	2.54E-04	bad-chisq
